cian_id,title,address,price,price_per_m2,rooms,total_area,floor,total_floors,building_type,building_series,year_built,district,metro,metro_distance_walk,metro_distance_transport,coordinates,publication_date,is_active
324719377,"Продается 1-комн. квартира, 35,1 м²","Санкт-Петербург, р-н Московский, Звёздное, ул. Ленсовета, 43На карте",0.0,0.0,1,0.0,0,0,,,0,р-н Московский,Московскаяулица Ленсовета,0,0,,2025-12-05,1
324718171,"Продается 1-комн. квартира, 31,2 м²","Санкт-Петербург, р-н Пушкинский, мкр. Шушары, просп. Старорусский, 3к2На карте",0.0,0.0,1,0.0,0,0,,,0,р-н Пушкинский,Купчинопроспект Старорусский,0,0,,2025-12-05,1
324718170,"Продается 1-комн. квартира, 31,9 м²","Санкт-Петербург, р-н Приморский, Юнтолово, аллея Арцеуловская, 5На карте",0.0,0.0,1,31.9,0,0,,,0,р-н Приморский,Комендантский проспекталлея Арцеуловская,0,0,,2025-12-05,1
324718153,"Продается 1-комн. квартира, 32,5 м²","Санкт-Петербург, р-н Приморский, Чёрная речка, наб. Черной речки, 3к2На карте",0.0,0.0,1,32.5,0,0,,,0,р-н Приморский,Черная речканабережная Черной речки,0,0,,2025-12-05,1
324717617,"Продается 1-комн. квартира, 32,7 м²","Санкт-Петербург, р-н Красносельский, Южно-Приморский, ул. Маршала Казакова, 68к1На карте",7000000.0,0.0,1,32.7,0,0,,,0,р-н Красносельский,Автовоулица Маршала Казакова,0,0,,2025-12-05,1
324717508,"Продается 4-комн. квартира, 89,8 м²","Санкт-Петербург, р-н Приморский, Чёрная речка, Белоостровская ул., 25На карте",19900000.0,0.0,4,89.8,0,0,,,0,р-н Приморский,Черная речкаБелоостровская улица,0,0,,2025-12-05,1
324717486,"Продается 3-комн. квартира, 92,8 м²","Санкт-Петербург, р-н Калининский, № 21, просп. Просвещения, 99На карте",25000000.0,0.0,3,92.8,0,0,,,0,р-н Калининский,Гражданский проспектпроспект Просвещения,0,0,,2025-12-05,1
324717480,"Продается 2-комн. квартира, 73 м²","Санкт-Петербург, р-н Адмиралтейский, Сенной, Московский просп., 1/2На карте",0.0,0.0,2,73.0,0,0,,,0,р-н Адмиралтейский,СадоваяМосковский проспект,0,0,,2025-12-05,1
324717305,"Продается 3-комн. квартира, 54,7 м²","Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, наб. Реки Сестры, 11На карте",0.0,0.0,3,54.7,0,0,,,0,р-н Курортный,Беговаянабережная Реки Сестры,0,0,,2025-12-05,1
324717304,"Продается 1-комн. квартира, 33,35 м²","Санкт-Петербург, р-н Калининский, Финляндский, просп. Маршала Блюхера, 3к3На карте",0.0,0.0,1,33.35,0,0,,,0,р-н Калининский,Леснаяпроспект Маршала Блюхера,0,0,,2025-12-05,1
